split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
valid,2312,24,0.352182693424679,97.15959004392387,97.2,87.8
test,2312,24,-1.0,95.27336860670194,95.96864501679731,84.32250839865621
valid,2352,25,0.3331500282511115,97.15792557866979,97.39999999999999,88.0
test,2352,25,-1.0,95.3927625772286,96.30459126539753,84.77043673012318
valid,2391,26,0.3505521481617903,97.27672035139092,96.8,87.6
test,2391,26,-1.0,95.38081805359661,95.74468085106383,84.32250839865621
valid,2429,27,0.32815794921235036,96.98389458272328,97.2,87.4
test,2429,27,-1.0,95.38244624603455,96.08062709966406,84.88241881298993
valid,2466,28,0.33077284975631815,97.18969555035129,97.0,87.8
test,2466,28,-1.0,95.71504143889966,95.96864501679731,85.44232922732363
valid,2501,29,0.3043429212910788,97.1294669009959,97.2,88.0
test,2501,29,-1.0,95.50660792951541,96.08062709966406,85.21836506159015
valid,2535,30,0.3470963046831243,97.18804920913885,97.6,88.2
test,2535,30,-1.0,95.31029619181948,96.08062709966406,84.65845464725645
valid,2568,31,0.2955918212731679,97.10102489019033,97.2,88.0
test,2568,31,-1.0,95.4160789844852,95.96864501679731,84.99440089585666
valid,2600,32,0.30898739118129015,97.1294669009959,97.0,88.0
test,2600,32,-1.0,95.41284403669725,95.96864501679731,84.99440089585666
valid,2632,33,0.3076756428927183,97.21815519765741,97.2,88.2
test,2632,33,-1.0,95.52028218694885,96.41657334826428,85.55431131019037
valid,2663,34,0.28498552931893256,97.24824355971897,97.2,88.2
test,2663,34,-1.0,95.2934955050238,96.1926091825308,84.88241881298993
valid,2693,35,0.29210280800859134,97.21815519765741,96.8,88.0
test,2693,35,-1.0,95.43290424969142,96.1926091825308,85.21836506159015
valid,2722,36,0.28766243622220794,97.36533957845432,97.39999999999999,88.4
test,2722,36,-1.0,95.4160789844852,96.1926091825308,85.1063829787234
valid,2750,37,0.287095452525786,97.16125256072579,97.0,87.6
test,2750,37,-1.0,95.48819175185055,95.96864501679731,84.99440089585666
valid,2778,38,0.2691482664751155,97.1027216856892,97.39999999999999,87.8
test,2778,38,-1.0,95.47136563876653,96.1926091825308,85.1063829787234
valid,2805,39,0.27232830391989815,97.39385065885797,96.8,88.4
test,2805,39,-1.0,95.32710280373831,96.52855543113102,84.99440089585666
valid,2832,40,0.27358760436375934,97.27512452387928,97.39999999999999,88.6
test,2832,40,-1.0,95.46817139834243,96.30459126539753,85.66629339305712
valid,2858,41,0.28605903914341557,97.27512452387928,97.39999999999999,88.4
test,2858,41,-1.0,95.34391534391533,96.52855543113102,85.33034714445688
valid,2883,42,0.25987906992435456,97.30521382542472,97.8,89.0
test,2883,42,-1.0,95.48660084626233,96.30459126539753,85.33034714445688
valid,2908,43,0.2433578258752823,97.36379613356766,97.2,88.6
test,2908,43,-1.0,95.51870148200423,95.96864501679731,85.1063829787234
valid,2932,44,0.2618277898679177,97.30521382542472,97.39999999999999,88.6
test,2932,44,-1.0,95.34719774409588,96.52855543113102,85.33034714445688
valid,2956,45,0.25619907428820926,97.30521382542472,97.6,88.6
test,2956,45,-1.0,95.45294324991188,96.30459126539753,84.99440089585666
valid,2979,46,0.24658283137756845,97.39079448841981,97.0,88.8
test,2979,46,-1.0,95.48660084626233,96.08062709966406,85.1063829787234
valid,3002,47,0.2525048962105875,97.59530791788856,97.39999999999999,90.2
test,3002,47,-1.0,95.46657258775798,96.41657334826428,85.21836506159015
valid,3024,48,0.23930595578117805,97.53954305799648,97.2,89.0
test,3024,48,-1.0,95.39763710104036,96.52855543113102,85.33034714445688
valid,3046,49,0.2495566179806536,97.39079448841981,97.0,89.0
test,3046,49,-1.0,95.60923999294657,96.41657334826428,85.77827547592385
valid,3068,50,0.23662110418081284,97.30363423212191,97.2,88.4
test,3068,50,-1.0,95.50185217851474,96.41657334826428,85.44232922732363
valid,3089,51,0.23574143648147583,97.50952241429826,97.39999999999999,89.0
test,3089,51,-1.0,95.52186177715092,96.1926091825308,85.21836506159015
valid,3110,52,0.24025161209560575,97.33216065669892,97.39999999999999,88.8
test,3110,52,-1.0,95.46497264866773,95.96864501679731,84.88241881298993
valid,3130,53,0.22877627685666085,97.24663151728178,96.8,87.8
test,3130,53,-1.0,95.57397284429554,96.41657334826428,85.55431131019037
valid,3150,54,0.23676965683698653,97.21652505127456,97.39999999999999,88.2
test,3150,54,-1.0,95.44812985179956,96.30459126539753,85.33034714445688
valid,3170,55,0.22497449032962322,97.27512452387928,97.2,88.4
test,3170,55,-1.0,95.6445071415976,96.64053751399776,86.11422172452407
valid,3189,56,0.23524480979693563,97.47948417350527,97.2,88.8
test,3189,56,-1.0,95.57241136002821,96.52855543113102,85.8902575587906
valid,3208,57,0.2099147854666961,97.3622508792497,97.0,88.4
test,3208,57,-1.0,95.62301447229088,96.52855543113102,85.8902575587906
valid,3227,58,0.24125708325913078,97.27512452387928,96.6,87.6
test,3227,58,-1.0,95.55555555555554,96.41657334826428,85.66629339305712
valid,3246,59,0.2310959579128968,97.44793194485186,97.2,89.0
test,3246,59,-1.0,95.62455892731123,96.1926091825308,85.66629339305712
valid,3264,60,0.21044834413462216,97.39079448841981,97.2,89.2
test,3264,60,-1.0,95.51870148200423,96.30459126539753,85.55431131019037
valid,3282,61,0.2123731788661745,97.39232346908878,97.2,88.6
test,3282,61,-1.0,95.53555673195696,96.1926091825308,85.44232922732363
valid,3300,62,0.20744350055853525,97.24824355971897,97.2,88.2
