split,step,epochs,eval_loss,slot_f1,intent_accuracy,semantic_accuracy
test,2932,44,-1.0,95.34883720930232,96.52855543113102,83.09070548712207
valid,2956,45,0.19263550639152527,97.83410138248847,97.6,90.4
test,2956,45,-1.0,95.1559934318555,95.63269876819709,81.52295632698768
valid,2979,46,0.20657420806262805,97.83509903270381,97.2,89.8
test,2979,46,-1.0,95.2797920372144,95.96864501679731,82.19484882418813
valid,3002,47,0.20661001036996426,97.85763648928818,97.2,90.0
test,3002,47,-1.0,95.17429938482569,96.41657334826428,82.86674132138859
valid,3024,48,0.19424198838797482,97.78801843317972,97.2,90.2
test,3024,48,-1.0,95.30715556163635,96.7525195968645,83.2026875699888
valid,3046,49,0.1806053055280989,97.7194194885971,97.2,90.0
test,3046,49,-1.0,95.30843933798384,96.41657334826428,82.97872340425532
valid,3068,50,0.1823900877074762,97.97235023041475,96.6,89.8
test,3068,50,-1.0,95.4010402408979,96.41657334826428,83.2026875699888
valid,3089,51,0.18787690039191926,97.8115641557245,97.2,90.4
test,3089,51,-1.0,95.33451908605828,96.64053751399776,83.31466965285554
valid,3110,52,0.16452297213531675,97.94883613735882,97.39999999999999,90.4
test,3110,52,-1.0,95.12361699221418,96.1926091825308,82.6427771556551
valid,3130,53,0.1844288133084774,98.11059907834102,97.39999999999999,91.2
test,3130,53,-1.0,95.21596500820118,96.64053751399776,83.2026875699888
valid,3150,54,0.18308658860623836,97.92626728110599,97.39999999999999,90.60000000000001
test,3150,54,-1.0,95.17429938482569,96.41657334826428,82.97872340425532
valid,3170,55,0.1659724920988083,97.99585348997927,97.39999999999999,91.0
test,3170,55,-1.0,95.1756184228509,95.96864501679731,82.53079507278835
